Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22416,"Transmetropolitan, Vol. 1: Back on the Street (Transmetropolitan, #1)",Warren Ellis,"Ellis, Warren","Darick Robertson, Darick Robertston, Rodney Ramos, Garth Ennis, Nathan Eyring, Patrick Stewart",1563894459,9781563894459,0,4.22,Vertigo,Paperback,144,1998,1998,,7/15/17,to-read,to-read (#235),to-read,,,,0,,,0,,,,,
31823677,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,"Ferriss, Timothy",Arnold Schwarzenegger,,,0,4.2,Houghton Mifflin Harcourt,Kindle Edition,707,2016,2016,,7/15/17,to-read,to-read (#234),to-read,,,,0,,,0,,,,,
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,0142000280,9780142000281,5,3.98,Penguin Books,Paperback,267,2002,2001,2/27/19,7/15/17,,,read,,,,2,,,0,,,,,
4813368,"The Latino Threat: Constructing Immigrants, Citizens, and the Nation",Leo R. Chavez,"Chavez, Leo R.",,0804759340,9780804759342,0,4.07,Stanford University Press,Paperback,272,2008,2008,,2/27/19,to-read,to-read (#233),to-read,,,,0,,,0,,,,,
18231654,Reform Without Justice: Latino Migrant Politics and the Homeland Security State,Alfonso Gonzales,"Gonzales, Alfonso",,0199342938,9780199342938,0,4.71,"Oxford University Press, USA",Paperback,220,2013,2013,,2/27/19,to-read,to-read (#232),to-read,,,,0,,,0,,,,,
23528853,"White Backlash: Immigration, Race, and American Politics",Marisa Abrajano,"Abrajano, Marisa",Zoltan L. Hajnal,0691164436,9780691164434,0,3.89,Princeton University Press,Hardcover,256,2015,2015,,2/27/19,to-read,to-read (#231),to-read,,,,0,,,0,,,,,
26535122,The New Immigration Federalism,Pratheepan Gulasekaram,"Gulasekaram, Pratheepan",S. Karthick Ramakrishnan,110711196X,9781107111967,0,4,Cambridge University Press,Hardcover,300,2015,2015,,2/27/19,to-read,to-read (#230),to-read,,,,0,,,0,,,,,
13593985,Mobilizing Inclusion: Transforming the Electorate through Get-Out-the-Vote Campaigns,Lisa Garcia Bedolla,"Bedolla, Lisa Garcia",Melissa R. Michelson,0300166788,9780300166781,0,4.15,Yale University Press,Paperback,304,2012,2012,,2/27/19,to-read,to-read (#229),to-read,,,,0,,,0,,,,,
550388,Congress: The Electoral Connection,David R. Mayhew,"Mayhew, David R.",,0300105878,9780300105872,0,3.71,Yale University Press,Paperback,216,2004,1974,,2/27/19,to-read,to-read (#228),to-read,,,,0,,,0,,,,,
369409,The Logic of Collective Action: Public Goods and the Theory of Groups,Mancur Olson,"Olson, Mancur",,0674537513,9780674537514,0,3.99,Harvard University Press,Paperback,186,1971,1965,,2/27/19,to-read,to-read (#227),to-read,,,,0,,,0,,,,,
26150770,"The Big Picture: On the Origins of Life, Meaning, and the Universe Itself",Sean Carroll,"Carroll, Sean",,0525954821,9780525954828,0,4.18,Dutton,Hardcover,480,2016,2016,,2/27/19,to-read,to-read (#226),to-read,,,,0,,,0,,,,,
37638098,Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,"Kocienda, Ken",,1250194466,9781250194466,0,4.05,St. Martin's Press,Hardcover,264,2018,,,2/13/19,to-read,to-read (#225),to-read,,,,0,,,0,,,,,
37822619,Astroball: The New Way to Win It All,Ben Reiter,"Reiter, Ben",,0525576649,9780525576648,0,4.33,Crown Archetype,Hardcover,235,2018,,,2/12/19,to-read,to-read (#224),to-read,,,,0,,,0,,,,,
9379180,Scorecasting: The Hidden Influences Behind How Sports Are Played and Games Are Won,Tobias J. Moskowitz,"Moskowitz, Tobias J.",L. Jon Wertheim,0307591794,9780307591791,0,3.79,Crown Archetype,Hardcover,255,2011,2011,,2/12/19,to-read,to-read (#223),to-read,,,,0,,,0,,,,,
15997,Paradise Lost,John Milton,"Milton, John",John      Leonard,0140424393,9780140424393,0,3.81,Penguin Classics,Paperback,453,2003,1667,,2/6/19,to-read,to-read (#222),to-read,,,,0,,,0,,,,,
61539,The Structure of Scientific Revolutions,Thomas S. Kuhn,"Kuhn, Thomas S.",,0226458083,9780226458083,0,4,University of Chicago Press,Paperback,226,1996,1962,,2/6/19,to-read,to-read (#221),to-read,,,,0,,,0,,,,,
18932692,The Checklist Manifesto - Atul Gawande: 1,Atul Gawande,"Gawande, Atul",Must Read Summaries,,,0,3.94,Must Read Summaries,Kindle Edition,27,2011,2011,,1/28/19,to-read,to-read (#220),to-read,,,,0,,,0,,,,,
6424171,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"Crichton, Michael",,0345370775,9780345370778,5,4,Ballantine Books,Mass Market Paperback,399,1991,1990,,7/15/17,,,read,,,,1,,,0,,,,,
35149919,The Art of Worldly Wisdom,Baltasar GraciÃ¡n,"GraciÃ¡n, Baltasar",Joseph Jacobs,1546672400,9781546672401,0,4.25,Createspace Independent Publishing Platform,Paperback,84,2017,1653,,3/14/18,to-read,to-read (#199),to-read,,,,0,,,0,,,,,
37510834,"Escaping the Rabbit Hole: How to Debunk Conspiracy Theories Using Facts, Logic, and Respect",Mick West,"West, Mick",,1510735801,9781510735804,0,4.04,Skyhorse,Hardcover,304,2018,,,11/30/18,to-read,to-read (#219),to-read,,,,0,,,0,,,,,
22847284,Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,Aditya Y. Bhargava,"Bhargava, Aditya Y.",,1617292230,9781617292231,0,4.39,Manning Publications Co,Pasta blanda,256,2015,2015,,11/30/18,to-read,to-read (#218),to-read,,,,0,,,0,,,,,
6255949,All You Need Is Kill,Hiroshi Sakurazaka,"Sakurazaka, Hiroshi","æ¡œåù‚æ´‹, Alexander O. Smith, Joseph Reeder",1421527618,9781421527611,0,4.06,Haikasoru,Paperback,200,2009,2004,,11/20/18,to-read,to-read (#217),to-read,,,,0,,,0,,,,,
1963638,The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,"Singer, Michael A.",,1572245379,9781572245372,0,4.26,New Harbinger Publications,Paperback,200,2007,2007,,11/19/18,to-read,to-read (#216),to-read,,,,0,,,0,,,,,
179699,Linear Algebra and Its Applications,Gilbert Strang,"Strang, Gilbert",,0030105676,9780030105678,0,4.21,Cengage Learning,Hardcover,544,2005,1976,,11/9/18,to-read,to-read (#215),to-read,,,,0,,,0,,,,,
331102,A First Course in the Numerical Analysis of Differential Equations,Arieh Iserles,"Iserles, Arieh",,0521556554,9780521556552,0,4.08,Cambridge University Press,Paperback,400,1996,1996,,11/9/18,to-read,to-read (#214),to-read,,,,0,,,0,,,,,
